Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Tuvalu,TUV,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.66,101.06,115.73,115.86,109.81
Uganda,UGA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,105.08,103.86,122.71,139.67,133.51
Ukraine,UKR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.82,111.06,112.83,100.89,121.68
United Arab Emirates,ARE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.67,99.16,102.55,107.78,106.68
United Kingdom,GBR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.62,91.35,101.09,82.19,89.59
United States,USA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.53,100.21,93.69,98.44,100.85
Uruguay,URY,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.17,65.18,97.46,83.75,89.18
Uzbekistan,UZB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.76,89.37,95.7,98.8,102.44
Vanuatu,VUT,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,109.15,109.89,110.91,110.17,109.79
"Venezuela, RB",VEN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.31,83.09,83.63,92.17,92.31
Viet Nam,VNM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.53,104.66,105.37,105.95,109.31
Virgin Islands (U.S.),VIR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
West Bank and Gaza,PSE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.49,92.16,128.99,99.41,97.47
"Yemen, Rep.",YEM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.49,88.36,104.67,104.41,97.65
Zambia,ZMB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,128.97,117.93,109.64,125.93,134.12
Zimbabwe,ZWE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.07,135.87,103.85,125.19,128.58
