Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Thailand,THA,Income share held by highest 10%,SI.DST.10TH.10,28.4,28.1,27.2,27,27.3
Timor-Leste,TLS,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Togo,TGO,Income share held by highest 10%,SI.DST.10TH.10,..,33,..,..,..
Tonga,TON,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Trinidad and Tobago,TTO,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Tunisia,TUN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Turkiye,TUR,Income share held by highest 10%,SI.DST.10TH.10,31.9,32.6,31.6,..,..
Turkmenistan,TKM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Turks and Caicos Islands,TCA,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Tuvalu,TUV,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Uganda,UGA,Income share held by highest 10%,SI.DST.10TH.10,..,..,34.5,..,..
Ukraine,UKR,Income share held by highest 10%,SI.DST.10TH.10,21.7,22,22.3,21.8,..
United Arab Emirates,ARE,Income share held by highest 10%,SI.DST.10TH.10,..,20,..,..,..
United Kingdom,GBR,Income share held by highest 10%,SI.DST.10TH.10,24.9,25.8,25.1,25,..
United States,USA,Income share held by highest 10%,SI.DST.10TH.10,30.3,30.7,30.8,29.5,30.1
Uruguay,URY,Income share held by highest 10%,SI.DST.10TH.10,29.6,29.7,29.7,29.9,30.8
Uzbekistan,UZB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Vanuatu,VUT,Income share held by highest 10%,SI.DST.10TH.10,..,..,24.7,..,..
"Venezuela, RB",VEN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Viet Nam,VNM,Income share held by highest 10%,SI.DST.10TH.10,..,27.5,..,28.5,..
Virgin Islands (U.S.),VIR,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
West Bank and Gaza,PSE,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
"Yemen, Rep.",YEM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Zambia,ZMB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Zimbabwe,ZWE,Income share held by highest 10%,SI.DST.10TH.10,34.8,..,..,..,..
